gene,mean_LPS,mean_Control,log2FC_LPS_vs_Control,pvalue,padj
Tank,6.972856666666668,6.131536666666666,0.8413200000000014,0.0037894693579184056,0.8013854442691011
Cfl2,8.451556666666667,7.424216666666666,1.0273400000000006,0.0038232702504675613,0.8013854442691011
Zbtb41,6.135316666666667,5.739229999999999,0.39608666666666803,0.0038753929329239495,0.8013854442691011
Kazn,2.10856,2.451446666666667,-0.3428866666666668,0.0038929610915081625,0.8013854442691011
Ccl5,10.723966666666668,5.315863333333333,5.408103333333335,0.003964468662793225,0.8013854442691011
Gm5086,2.8072,3.7951200000000003,-0.9879200000000004,0.003967767107764945,0.8013854442691011
Rhoq,6.589075,5.79658,0.7924950000000006,0.003970974065655857,0.8013854442691011
Gm11194,2.822836666666667,2.563946666666667,0.25889000000000006,0.0040575763568756265,0.8013854442691011
Ccl2,8.571763333333335,6.89525,1.676513333333335,0.004079442843463505,0.8013854442691011
Wasf3,2.420523333333333,2.7790733333333333,-0.35855000000000015,0.004082757781904664,0.8013854442691011
Nos2,8.186706666666666,5.020783333333333,3.1659233333333328,0.004113268695988717,0.8013854442691011
Gm11435,3.9164399999999997,2.515423333333333,1.4010166666666666,0.0041176415656814114,0.8013854442691011
Gm20559,7.132126666666667,2.9518733333333333,4.180253333333334,0.004179259228985098,0.8013854442691011
Mir221,5.35482,3.98273,1.37209,0.004189136810493891,0.8013854442691011
BC024479,4.657733333333334,4.321680000000001,0.3360533333333331,0.004203227677272049,0.8013854442691011
Bcl2a1d,6.926023333333333,4.659563333333334,2.2664599999999995,0.004255789136584589,0.8013854442691011
Intu,4.403393333333334,3.9754066666666668,0.42798666666666696,0.004286277943710747,0.8013854442691011
Spic,4.012706666666666,2.248286666666667,1.7644199999999994,0.004298387645658873,0.8013854442691011
Ppic,7.470163333333333,6.65116,0.8190033333333329,0.004422124623729478,0.8013854442691011
Plxnd1,7.960116666666667,6.724050000000001,1.236066666666666,0.004475067356405628,0.8013854442691011
Stx11,4.902916666666667,3.5482833333333335,1.3546333333333336,0.00451109817586708,0.8013854442691011
