Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,CBM,VBM
mp-1199741,Zn3TeP2Pb3O14,Monoclinic,P2,3,138,0,-2.0877,TRUE,1992.18137,6.15827,3.1622,TRUE,FALSE,NM,0.02535,5.8227,2.6605
mp-1204899,Zn3Sb2H18(Se2N3)3,Monoclinic,P2_1,4,76,0.35613,-0.13052,FALSE,1228.89373,2.85846,0.3882,FALSE,FALSE,FM,18.11067,0.7994,0.4112
mp-695252,Sr2La14Zn3Cu5O32,Monoclinic,Pm,6,56,0.07057,-2.96985,FALSE,779.38301,6.7025,0,FALSE,TRUE,FM,1.5561,,
mp-1216044,Zn3Cu6Sn3(SeS2)4,Monoclinic,Cm,8,24,0.01466,-0.67256,FALSE,516.11881,4.84532,0.0542,TRUE,FALSE,NM,0.00433,4.3045,4.2503
mp-1340134,Ba2Tl2Zn3(NiO3)4,Monoclinic,Cm,8,23,0.19055,-1.46913,FALSE,313.48798,6.92005,0,FALSE,TRUE,FM,7.99356,,
mp-1227259,Ca8Zn3Co(Si2O7)4,Tetragonal,P-4,81,48,0.01669,-3.13354,FALSE,632.81621,3.27599,3.1517,FALSE,FALSE,FM,2.99808,5.8481,2.6964
mp-1234197,MgZn3Cu2H14(SO9)2,Triclinic,P1,1,40,0.07944,-1.47157,FALSE,416.49267,2.84611,1.3717,FALSE,FALSE,NM,0,2.8847,1.513
mp-1234553,MgZn3Cu2H14(SO9)2,Triclinic,P1,1,40,0.07911,-1.4719,FALSE,398.71269,2.97303,1.3121,FALSE,FALSE,NM,0,3.3444,2.0323
mp-1235006,MgZn3Cu2H14(SO9)2,Triclinic,P1,1,40,0.07908,-1.47193,FALSE,415.78316,2.85096,1.135,FALSE,FALSE,NM,0,3.1438,2.0088
mp-2712526,Na3Zn3SnPS5O24,Triclinic,P1,1,111,0.03334,-2.03042,FALSE,1517.0303,3.14979,2.2449,TRUE,FALSE,NM,0,3.2583,1.0134
mp-2712529,Na6Zn3GeP4(SO12)2,Triclinic,P1,1,120,0.07932,-2.28978,FALSE,1504.38401,3.24125,2.3372,TRUE,FALSE,NM,0,3.5561,1.2189
mp-2712616,Na6Zn3Si2Ge(SO6)4,Triclinic,P1,1,120,0.14237,-2.13659,FALSE,1539.41534,3.15586,1.9646,TRUE,FALSE,NM,0,3.6019,1.6373
mp-2712651,Na6Zn3Si2Sn(SO6)4,Triclinic,P1,1,120,0.12513,-2.15005,FALSE,1589.79597,3.20021,2.0679,FALSE,FALSE,NM,0,3.9017,1.8338
mp-2712665,Na3ZrZn3PS5O24,Triclinic,P1,1,111,0.02963,-2.19601,FALSE,1537.98898,3.01783,3.5157,TRUE,FALSE,NM,0,3.9879,0.4722
mp-2712668,Na6HfZn3P4(SO12)2,Triclinic,P1,1,120,0.06977,-2.47223,FALSE,1565.95468,3.45054,4.0435,TRUE,FALSE,NM,0,4.9941,0.9506
mp-2712696,Na3TiZn3PS5O24,Triclinic,P1,1,111,0.02905,-2.15848,FALSE,1485.95302,2.97816,2.0644,TRUE,FALSE,NM,0,2.6478,0.5834
